set nodes := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;


param orig := 1 ;
param dest := 20 ;
param coeficient_paretto := 0.5; 		# pot variar
param ccptt := 5;   								# pot variar
param pressupost := 50; 						# pot variar
param tipus_interes := 0.654; 			# pot variar
#param t_max := 500;									# pot variar
param:
	arcs:
            tau_max   tau_min   cost := # cost pot variar
    1 3     35        7         10
    1 2     8         2         6
    2 12    25        5         45
    3 4     15        4         30
    3 5     15        3         15
    3 6     30        7         10
    4 7     10        1         33
    4 8     3         1         21
    4 9     3         2         8
    5 10    5         1         6
    5 11    40        10        11
    6 17    0         0         0
    7 16    100       15        15
    8 16    50        10        12
    9 13    10        1         13
    10 14   30        10        22
    11 15   10        1         17
    12 17   0         0         0
    13 16   15        7         21
    14 16   5         1         13
    15 17   40        7         7
    16 18   20        6         23
    17 16   5         1         9
    18 19   15        2         11
    19 20   20        2         18
	 ;
